lang,type,N,avg_ns
C,signed_char,10,3.060000000000
C,signed_char,100,16.250000000000
C,signed_char,1000,169.770000000000
C,signed_char,10000,1670.050000000000
C,signed_char,100000,16398.000000000000
C,signed_char,1000000,168085.000000000000
C,signed_char,10000000,1751300.000000000000
C,signed_char,100000000,18580300.000000000000
C,short,10,2.200000000000
C,short,100,10.740000000000
C,short,1000,110.020000000000
C,short,10000,1046.700000000000
C,short,100000,10434.000000000000
C,short,1000000,112165.000000000000
C,short,10000000,1697350.000000000000
C,short,100000000,19116500.000000000000
C,int,10,2.310000000000
C,int,100,7.040000000000
C,int,1000,69.140000000000
C,int,10000,749.700000000000
C,int,100000,7666.000000000000
C,int,1000000,161365.000000000000
C,int,10000000,3296300.000000000000
C,int,100000000,36099400.000000000000
C,float,10,2.850000000000
C,float,100,18.240000000000
C,float,1000,165.780000000000
C,float,10000,1637.650000000000
C,float,100000,16770.500000000000
C,float,1000000,206235.000000000000
C,float,10000000,3326500.000000000000
C,float,100000000,33252800.000000000000
C,double,10,2.160000000000
C,double,100,8.350000000000
C,double,1000,93.630000000000
C,double,10000,1126.050000000000
C,double,100000,21422.000000000000
C,double,1000000,318275.000000000000
C,double,10000000,5221600.000000000000
C,double,100000000,49614500.000000000000
