lang,type,N,reps,total_ns,avg_ns,checksum
Java,signed_char,10,2000000,11300700,5.65,-374030363170000
Java,signed_char,100,200000,5139300,25.70,-374030292970000
Java,signed_char,1000,20000,4519400,225.97,-374030273470000
Java,signed_char,10000,2000,4525200,2262.60,-374030284084000
Java,signed_char,100000,200,4488100,22440.50,-374030285408400
Java,signed_char,1000000,20,4289800,214490.00,-374030285402940
Java,signed_char,10000000,2,4468500,2234250.00,-374030286183352
Java,signed_char,100000000,1,23287000,23287000.00,-374030286567259
Java,short,10,2000000,11160600,5.58,-373052112567259
Java,short,100,200000,4895100,24.48,-373001594167259
Java,short,1000,20000,4529200,226.46,-373096496367259
Java,short,10000,2000,4278100,2139.05,-373060137543259
Java,short,100000,200,4436600,22183.00,-373023809981059
Java,short,1000000,20,4665700,233285.00,-373026410792699
Java,short,10000000,2,5067800,2533900.00,-373024098547367
Java,short,100000000,1,25914000,25914000.00,-373020377672475
Java,int,10,2000000,11254800,5.63,-1605160608923672475
Java,int,100,200000,2193100,10.97,-1576671207743672475
Java,int,1000,20000,2385800,119.29,-1333369834322432475
Java,int,10000,2000,2174600,1087.30,-1341280413219386475
Java,int,100000,200,2164800,10824.00,-1348761053089024275
Java,int,1000000,20,2623400,131170.00,-1348323743202163375
Java,int,10000000,2,5983000,2991500.00,-1351463425100254495
Java,int,100000000,1,29192500,29192500.00,-1352371752719832650
Java,float,10,2000000,17201800,8.60,-2399980.980814
Java,float,100,200000,6306300,31.53,-2113224.255706
Java,float,1000,20000,8222400,411.12,-2330813.528402
Java,float,10000,2000,8536000,4268.00,-2279918.255437
Java,float,100000,200,8455400,42277.00,-2278106.056705
Java,float,1000000,20,8456600,422830.00,-2282196.871913
Java,float,10000000,2,9595000,4797500.00,-2279632.748282
Java,float,100000000,1,47195600,47195600.00,-2280508.113961
Java,double,10,2000000,11454100,5.73,-1934530.156947
Java,double,100,200000,4862600,24.31,-1971724.987732
Java,double,1000,20000,7755600,387.78,-1889264.013028
Java,double,10000,2000,8548800,4274.40,-1838162.786215
Java,double,100000,200,8360000,41800.00,-1847050.221657
Java,double,1000000,20,9114400,455720.00,-1836365.656246
Java,double,10000000,2,12542100,6271050.00,-1836016.371791
Java,double,100000000,1,61711400,61711400.00,-1830589.603428
