lang,type,N,mean_avg_ns,runs
Java,double,10,5.906000,5
Java,double,100,24.330000,5
Java,double,1000,391.598000,5
Java,double,10000,4315.450000,5
Java,double,100000,41843.500000,5
Java,double,1000000,463507.000000,5
Java,double,10000000,6348250.000000,5
Java,double,100000000,61418440.000000,5
Java,float,10,8.080000,5
Java,float,100,31.574000,5
Java,float,1000,405.556000,5
Java,float,10000,4147.230000,5
Java,float,100000,41802.200000,5
Java,float,1000000,428141.000000,5
Java,float,10000000,4850300.000000,5
Java,float,100000000,47577140.000000,5
Java,int,10,5.810000,5
Java,int,100,11.294000,5
Java,int,1000,111.124000,5
Java,int,10000,1055.760000,5
Java,int,100000,10576.300000,5
Java,int,1000000,131323.000000,5
Java,int,10000000,2939190.000000,5
Java,int,100000000,29062540.000000,5
Java,short,10,6.032000,5
Java,short,100,23.960000,5
Java,short,1000,221.226000,5
Java,short,10000,2175.240000,5
Java,short,100000,21625.400000,5
Java,short,1000000,227410.000000,5
Java,short,10000000,2742170.000000,5
Java,short,100000000,27336160.000000,5
Java,signed_char,10,5.738000,5
Java,signed_char,100,24.852000,5
Java,signed_char,1000,220.792000,5
Java,signed_char,10000,2309.700000,5
Java,signed_char,100000,21856.300000,5
Java,signed_char,1000000,222801.000000,5
Java,signed_char,10000000,2333260.000000,5
Java,signed_char,100000000,23531580.000000,5
