lang,type,N,reps,total_ns,avg_ns,checksum
Java,signed_char,10,2000000,11057400,5.53,-374030363170000
Java,signed_char,100,200000,4899600,24.50,-374030292970000
Java,signed_char,1000,20000,4356900,217.85,-374030273470000
Java,signed_char,10000,2000,4695900,2347.95,-374030284084000
Java,signed_char,100000,200,4268300,21341.50,-374030285408400
Java,signed_char,1000000,20,4313400,215670.00,-374030285402940
Java,signed_char,10000000,2,4650500,2325250.00,-374030286183352
Java,signed_char,100000000,1,25371600,25371600.00,-374030286567259
Java,short,10,2000000,11825200,5.91,-373052112567259
Java,short,100,200000,4666200,23.33,-373001594167259
Java,short,1000,20000,4269200,213.46,-373096496367259
Java,short,10000,2000,4258500,2129.25,-373060137543259
Java,short,100000,200,4382100,21910.50,-373023809981059
Java,short,1000000,20,4263400,213170.00,-373026410792699
Java,short,10000000,2,5571600,2785800.00,-373024098547367
Java,short,100000000,1,27031400,27031400.00,-373020377672475
Java,int,10,2000000,11982200,5.99,-1605160608923672475
Java,int,100,200000,2244600,11.22,-1576671207743672475
Java,int,1000,20000,2157100,107.86,-1333369834322432475
Java,int,10000,2000,2064700,1032.35,-1341280413219386475
Java,int,100000,200,2106100,10530.50,-1348761053089024275
Java,int,1000000,20,2255900,112795.00,-1348323743202163375
Java,int,10000000,2,6220700,3110350.00,-1351463425100254495
Java,int,100000000,1,28189900,28189900.00,-1352371752719832650
Java,float,10,2000000,15329000,7.66,-2399980.980814
Java,float,100,200000,6302900,31.51,-2113224.255706
Java,float,1000,20000,8373500,418.68,-2330813.528402
Java,float,10000,2000,8285800,4142.90,-2279918.255437
Java,float,100000,200,8370700,41853.50,-2278106.056705
Java,float,1000000,20,8517900,425895.00,-2282196.871913
Java,float,10000000,2,10211100,5105550.00,-2279632.748282
Java,float,100000000,1,47045400,47045400.00,-2280508.113961
Java,double,10,2000000,12408200,6.20,-1934530.156947
Java,double,100,200000,4997000,24.99,-1971724.987732
Java,double,1000,20000,8012100,400.61,-1889264.013028
Java,double,10000,2000,8814900,4407.45,-1838162.786215
Java,double,100000,200,8288800,41444.00,-1847050.221657
Java,double,1000000,20,9194100,459705.00,-1836365.656246
Java,double,10000000,2,13297900,6648950.00,-1836016.371791
Java,double,100000000,1,60946400,60946400.00,-1830589.603428
