lang,type,N,reps,total_ns,avg_ns,checksum
JavaVector,signed_char,10,2000000,13165000,6.58,-374030363170000
JavaVector,signed_char,100,200000,5144900,25.72,-374030292970000
JavaVector,signed_char,1000,20000,4560300,228.02,-374030273470000
JavaVector,signed_char,10000,2000,4594700,2297.35,-374030284084000
JavaVector,signed_char,100000,200,4424400,22122.00,-374030285408400
JavaVector,signed_char,1000000,20,4412700,220635.00,-374030285402940
JavaVector,signed_char,10000000,2,4846100,2423050.00,-374030286183352
JavaVector,signed_char,100000000,1,24082700,24082700.00,-374030286567259
JavaVector,short,10,2000000,11560900,5.78,-373052112567259
JavaVector,short,100,200000,5090400,25.45,-373001594167259
JavaVector,short,1000,20000,5091500,254.58,-373096496367259
JavaVector,short,10000,2000,4641100,2320.55,-373060137543259
JavaVector,short,100000,200,4517300,22586.50,-373023809981059
JavaVector,short,1000000,20,4598700,229935.00,-373026410792699
JavaVector,short,10000000,2,5568300,2784150.00,-373024098547367
JavaVector,short,100000000,1,29158700,29158700.00,-373020377672475
JavaVector,int,10,2000000,11481400,5.74,-1605160608923672475
JavaVector,int,100,200000,2326100,11.63,-1576671207743672475
JavaVector,int,1000,20000,2215700,110.79,-1333369834322432475
JavaVector,int,10000,2000,2146600,1073.30,-1341280413219386475
JavaVector,int,100000,200,2260500,11302.50,-1348761053089024275
JavaVector,int,1000000,20,3099600,154980.00,-1348323743202163375
JavaVector,int,10000000,2,6105100,3052550.00,-1351463425100254495
JavaVector,int,100000000,1,30378500,30378500.00,-1352371752719832650
JavaVector,float,10,2000000,22592400,11.30,-2399980.996720
JavaVector,float,100,200000,1546900,7.73,-2113224.383820
JavaVector,float,1000,20000,1636100,81.81,-2330813.724030
JavaVector,float,10000,2000,1768600,884.30,-2279918.437470
JavaVector,float,100000,200,1194300,5971.50,-2278106.209648
JavaVector,float,1000000,20,3051400,152570.00,-2282197.039116
JavaVector,float,10000000,2,5759900,2879950.00,-2279632.971733
JavaVector,float,100000000,1,26841200,26841200.00,-2280508.134514
JavaVector,double,10,2000000,10767700,5.38,-1934530.177501
JavaVector,double,100,200000,3153800,15.77,-1971725.008285
JavaVector,double,1000,20000,2065800,103.29,-1889264.033581
JavaVector,double,10000,2000,3337200,1668.60,-1838162.806768
JavaVector,double,100000,200,4950500,24752.50,-1847050.242210
JavaVector,double,1000000,20,5337700,266885.00,-1836365.676799
JavaVector,double,10000000,2,10619400,5309700.00,-1836016.392344
JavaVector,double,100000000,1,47680900,47680900.00,-1830589.623981
